instnm,ADMSSN (ADM2015),APPLCN (ADM2015),ADMSSN (ADM2014),APPLCN (ADM2014),ADMSSN (IC2013),APPLCN (IC2013),ADMSSN (IC2012),APPLCN (IC2012),ADMSSN (IC2011),APPLCN (IC2011),
Boston University,17871,54781,18701,54190,20071,44006,20663,41802,22187,38275,
California Institute of Technology,573,6506,576,6525,584,5535,667,5225,667,5225,
Duke University,3566,31220,3596,31523,4077,30374,3938,28145,4196,25462,
Indiana State University,10104,11819,9292,11258,9152,11019,9245,10709,8843,10380,
Massachusetts Institute of Technology,1519,18306,1447,18356,1548,18989,1620,18109,1742,17909,
Michigan State University,23397,35300,21950,33211,21610,31479,21327,30224,20728,28416,
Ohio State University-Main Campus,19872,40240,19484,36788,17413,31359,16521,25816,16518,26100,
Stanford University,2140,42497,2145,42167,2208,38828,2423,36632,2437,34348,
The University of Alabama,19400,36203,17221,33736,17515,30975,14019,26409,9636,22136,
United States Military Academy,1486,14635,1418,14977,1380,15408,1358,15171,1473,13954,
University of California-Berkeley,13320,78893,11820,73782,11108,61717,11450,52982,10795,50374,
University of California-Los Angeles,16016,92690,16059,86537,15981,72676,16689,61556,15719,61545,
University of Chicago,2521,30069,2409,27500,2670,30304,3340,25271,3539,21762,
University of Illinois at Chicago,12007,15664,11589,15560,10427,14603,9193,14380,9151,14564,
University of Illinois at Urbana-Champaign,22471,34277,21150,35822,20716,33203,19924,31454,19434,28751,
University of Michigan-Ann Arbor,13611,51797,16047,49776,15570,46813,15551,42544,16073,39584,
University of Southern California,9181,51924,9358,51920,9395,47358,9187,46104,8566,37210,
University of Virginia-Main Campus,9186,30840,8997,31021,8691,28984,8031,27178,7847,23583,
University of Wisconsin-Madison,16134,28007,14484,25438,15841,23324,14651,21352,14417,21689,
Yale University,2034,30236,1950,30932,2043,28977,2109,27283,2039,25869,
