instnm,ACTCM75 (ADM2015),ACTCM75 (ADM2014),ACTCM75 (IC2013),ACTCM75 (IC2012),ACTCM75 (IC2011),
Boston University,31,31,30,30,30,
California Institute of Technology,35,35,35,35,35,
Duke University,34,34,34,34,34,
Indiana State University,22,22,22,22,22,
Massachusetts Institute of Technology,35,35,35,35,35,
Michigan State University,28,28,28,28,28,
Ohio State University-Main Campus,31,31,31,30,30,
Stanford University,35,34,34,34,34,
The University of Alabama,31,31,30,30,29,
United States Military Academy,31,31,30,30,31,
University of California-Berkeley,34,34,33,33,32,
University of California-Los Angeles,33,33,31,31,31,
University of Chicago,35,35,35,34,34,
University of Illinois at Chicago,26,27,26,26,26,
University of Illinois at Urbana-Champaign,31,32,31,31,31,
University of Michigan-Ann Arbor,33,33,32,32,33,
University of Southern California,33,33,33,33,33,
University of Virginia-Main Campus,33,33,33,32,32,
University of Wisconsin-Madison,31,31,30,30,30,
Yale University,35,35,35,35,35,
